brand,model,tank,capacity,transmission,rent_price,discount_percentage
Lotus,Evora,66.62,6,3XL,2.99,19
Honda,CR-X,55.52,6,3XL,15.99,13
Ferrari,599 GTB Fiorano,57.96,3,M,3.49,16
Mitsubishi,Mirage,53.11,7,XS,79.99,17
Ford,Crown Victoria,52.39,3,3XL,2.99,12
GMC,Savana 3500,53.01,5,2XL,2.39,14
Honda,Civic,62.71,3,S,39.99,20
Mazda,RX-8,65.14,5,XS,15.99,10
Nissan,Maxima,64.49,3,S,10.99,15
Mercedes-Benz,SL-Class,62.07,5,XS,29.99,16
Audi,200,56.48,7,2XL,39.99,19
Ford,LTD,57.93,5,L,4.49,11
Nissan,Quest,72.38,5,S,29.99,20
Volkswagen,Jetta,53.98,7,S,0.79,16
Subaru,XT,67.69,6,XL,12.99,15
BMW,6 Series,79.05,4,2XL,19.99,17
Chevrolet,Express 1500,51.14,7,M,29.99,17
Lotus,Exige,67.85,6,2XL,39.99,13
Aston Martin,DB9,65.25,7,M,25.99,20
Lincoln,MKS,56.04,5,XS,30,11
BMW,5 Series,54.86,5,M,1.99,16
Dodge,Viper,61.4,7,XS,29.99,10
Ford,E250,71.35,3,3XL,29.99,17
BMW,7 Series,55.66,3,XS,2.99,12
Chevrolet,Silverado,75.75,4,2XL,3.99,10
Lexus,GX,54.79,6,L,5.99,18
Ford,F350,58.76,5,XS,3.99,13
Toyota,Camry Hybrid,64.02,5,M,29.99,16
Dodge,Dakota Club,54.91,7,XL,199.99,17
Mercury,Grand Marquis,65.73,4,L,2.99,14
Honda,Civic,70.08,7,2XL,4.29,14
Oldsmobile,Bravada,79.95,5,2XL,49.99,19
Chevrolet,Astro,69.0,5,2XL,3.49,18
Mitsubishi,Diamante,67.27,7,S,29.99,14
Chevrolet,Silverado 3500,78.58,6,M,59.99,10
Lincoln,MKT,76.43,7,M,0.79,13
Ford,Bronco,63.22,7,XS,49.99,16
Volvo,S70,67.78,4,2XL,39.99,13
Chevrolet,Suburban,71.25,4,2XL,5.99,20
Hyundai,Santa Fe,55.16,3,L,22.99,10
Hyundai,Elantra,79.39,6,L,6.99,11
Volvo,XC70,58.77,6,3XL,1.99,16
Dodge,Stratus,69.93,6,XS,99.99,12
Land Rover,Range Rover,64.84,7,XS,2.99,10
GMC,Savana 2500,74.45,6,S,99.99,19
Subaru,Legacy,66.46,4,3XL,22,16
Chevrolet,Venture,54.11,5,XS,6.99,19
Volvo,C70,71.15,4,S,3.99,20
Ford,Bronco,73.33,7,3XL,19.99,14
Volkswagen,Tiguan,60.79,5,XL,2.99,17
Volkswagen,Jetta,52.93,7,L,5.99,18
Chevrolet,Corvette,65.68,4,L,6.29,17
Volvo,S80,54.04,6,XS,2.49,14
GMC,Envoy,53.76,5,S,39.99,16
Mazda,Protege5,78.55,5,S,29.99,10
Ford,Taurus,79.15,6,L,24.99,12
Volvo,V40,73.64,3,XS,2.49,14
Volkswagen,Golf,63.98,5,M,24.99,12
Ford,Ranger,79.64,5,S,35.99,10
Nissan,Xterra,51.55,6,L,4.79,12
Mercedes-Benz,C-Class,56.03,7,3XL,14.99,10
BMW,3 Series,68.36,7,3XL,14.99,16
Pontiac,Trans Sport,50.95,3,L,3.29,20
Subaru,Alcyone SVX,73.88,7,S,4.49,19
Infiniti,J,69.55,6,S,5.99,15
Honda,Odyssey,61.53,7,S,2.99,12
Chevrolet,Astro,56.82,7,M,129.99,14
Dodge,Ram Van 1500,52.29,4,XS,3.29,20
Audi,A3,55.19,3,S,2.49,11
Acura,TL,58.88,5,XL,1.89,20
Subaru,Leone,62.16,3,L,6.49,12
Toyota,Tacoma Xtra,78.97,4,M,3.29,13
Mercedes-Benz,SLR McLaren,59.06,5,2XL,15.99,13
BMW,X6,69.37,4,L,39.99,19
Cadillac,SRX,64.51,3,XL,7.99,18
Chrysler,Concorde,52.66,4,2XL,89.99,12
Buick,Riviera,74.4,3,L,29.99,18
Suzuki,Daewoo Magnus,76.63,5,L,4.79,13
Mazda,929,59.46,7,M,2.99,20
Subaru,Impreza,62.54,5,S,3.49,17
Mitsubishi,Pajero,76.66,3,S,69.99,19
Land Rover,Range Rover,65.57,5,L,3.29,13
GMC,Rally Wagon 3500,67.07,4,XS,3.49,14
Suzuki,XL-7,58.58,4,M,2.99,16
Hyundai,Sonata,55.96,6,M,24.99,12
Dodge,Shadow,62.54,5,3XL,359.99,16
Honda,Civic,59.38,7,XL,19.99,14
Chevrolet,Corvette,75.25,4,3XL,3.29,16
Audi,S5,71.42,4,2XL,3.79,13
Plymouth,Voyager,69.42,5,2XL,89.99,10
Lincoln,LS,64.16,5,2XL,34.99,17
Porsche,911,73.56,7,XS,6.99,18
Lincoln,Navigator,74.06,4,3XL,3.99,10
Kia,Spectra,60.84,6,L,19.99,16
Mercedes-Benz,CLK-Class,52.31,5,L,12.99,10
Mercury,Mystique,78.99,7,XS,4.49,13
Honda,Civic,76.54,5,2XL,34.99,19
Ford,Transit Connect,71.16,6,3XL,49.99,14
Toyota,4Runner,53.33,4,L,2.49,15
GMC,Savana 3500,76.35,7,L,3.99,14
Hummer,H1,70.78,6,M,29.99,14
Chevrolet,Suburban 2500,69.43,7,3XL,9.99,14
BMW,X3,71.05,5,M,14.99,12
Mazda,Mazda6,50.54,5,3XL,2.99,12
Mazda,929,57.65,6,3XL,1.29,13
Lincoln,Town Car,66.29,6,XL,45.99,18
Dodge,Omni,69.55,5,S,39.99,10
GMC,Savana 3500,72.32,6,XL,1.5,15
Buick,Enclave,58.31,7,XS,2.99,18
Bentley,Azure,52.57,3,3XL,59.99,20
Land Rover,Freelander,66.68,5,L,19.99,17
Suzuki,Verona,68.16,5,XS,39.99,16
Chevrolet,Colorado,66.33,5,M,3.49,13
Pontiac,6000,51.28,3,XS,2.99,19
Oldsmobile,Intrigue,55.72,4,3XL,29.99,20
Mercedes-Benz,S-Class,75.43,3,M,54.99,18
Toyota,Avalon,65.26,3,2XL,59.99,20
Ford,Mustang,69.36,6,3XL,29.99,16
Mitsubishi,Endeavor,66.83,5,2XL,3.99,16
Chevrolet,Caprice,52.87,5,3XL,29.99,17
Ferrari,458 Italia,77.67,6,XL,129.99,15
